X,Y,Z,Yaw,Pitch,Roll
0, 0, 0, -1.37071e-05, 2.34788e-06, 0
0.002736, 0.011991, 0.000483, -0.550568, -0.0364823, 0.371438
0.006031, 0.023898, 0.001106, -1.13737, -0.0811038, 0.836639
0.010225, 0.0357821, 0.001434, -1.75268, -0.190438, 1.41403
0.015412, 0.0476387, 0.001474, -2.41441, -0.409381, 2.10043
0.02143, 0.0593341, 0.001151, -3.1106, -0.75208, 2.86169
0.028085, 0.0707829, 0.000421, -3.80899, -1.2447, 3.66064
0.034917, 0.0816299, -0.000755, -4.45427, -1.81824, 4.36644
0.041305, 0.0917072, -0.002078, -5.07927, -2.42783, 4.96991
0.047169, 0.100639, -0.003423, -5.68296, -3.01504, 5.48174
0.051981, 0.108032, -0.004754, -6.27008, -3.53835, 5.87627
0.055897, 0.113614, -0.005833, -6.83769, -3.95716, 6.13984
0.058398, 0.117474, -0.006586, -7.31938, -4.22244, 6.32417
0.059497, 0.11943, -0.007035, -7.66224, -4.36347, 6.39362
0.059358, 0.119613, -0.007254, -7.88316, -4.4199, 6.30237
0.057692, 0.117806, -0.006965, -7.95705, -4.32541, 6.10034
0.054812, 0.114285, -0.006514, -7.90035, -4.08122, 5.83797
0.050854, 0.109189, -0.006043, -7.73712, -3.73925, 5.47028
0.045969, 0.102744, -0.005498, -7.50932, -3.35829, 5.02889
0.040241, 0.0951489, -0.004975, -7.27153, -2.97069, 4.54999
0.033773, 0.0864492, -0.004258, -7.02332, -2.55405, 3.99985
0.026856, 0.0767551, -0.003491, -6.77408, -2.12295, 3.38995
0.019376, 0.0659961, -0.002887, -6.53078, -1.66115, 2.72714
0.011612, 0.0545526, -0.002363, -6.30479, -1.19133, 1.99293
0.003636, 0.0424254, -0.002007, -6.12046, -0.721588, 1.23514
-0.004514, 0.0297287, -0.00159, -6.00567, -0.246147, 0.505246
-0.012666, 0.0167617, -0.001262, -5.96381, 0.220637, -0.20255
-0.020962, 0.0034737, -0.000885, -5.99786, 0.71834, -0.886573
-0.029494, -0.0100952, -0.000552, -6.02945, 1.30658, -1.53269
-0.03802, -0.0241098, -0.000407, -5.98605, 1.91618, -2.11741
-0.046554, -0.0381763, -0.000643, -5.8668, 2.49114, -2.65866
-0.054667, -0.0523053, -0.0014, -5.68865, 2.99951, -3.18092
-0.062602, -0.0661213, -0.002446, -5.41629, 3.42445, -3.68861
-0.069926, -0.0796113, -0.003707, -5.07303, 3.69285, -4.17086
-0.076792, -0.0920473, -0.005098, -4.68597, 3.88653, -4.60483
-0.083187, -0.103598, -0.006193, -4.25201, 4.11956, -5.00864
-0.089103, -0.113631, -0.007261, -3.76785, 4.43708, -5.39219
-0.094347, -0.1225, -0.007806, -3.29177, 4.74194, -5.64959
-0.09867, -0.129862, -0.008014, -2.8631, 5.04203, -5.76218
-0.102055, -0.135852, -0.008025, -2.50089, 5.30724, -5.76721
-0.104483, -0.140317, -0.007747, -2.2502, 5.53402, -5.70241
-0.105626, -0.143193, -0.007213, -2.15152, 5.68617, -5.56705
-0.105609, -0.144775, -0.006361, -2.24677, 5.75509, -5.38081
-0.104331, -0.145116, -0.005455, -2.56521, 5.71015, -5.1396
-0.101819, -0.1442, -0.004693, -3.16888, 5.5082, -4.86848
-0.098131, -0.141848, -0.003988, -4.10795, 5.20923, -4.59933
-0.093381, -0.138268, -0.003337, -5.40444, 4.83572, -4.366
-0.087479, -0.133445, -0.002653, -7.03342, 4.3845, -4.16434
-0.080895, -0.127454, -0.002069, -8.80056, 3.89871, -3.99902
-0.074127, -0.120555, -0.001571, -10.5288, 3.39579, -3.80553
-0.067247, -0.112785, -0.001117, -12.1228, 2.90756, -3.54113
-0.060189, -0.104239, -0.000574, -13.5409, 2.50845, -3.24434
-0.053301, -0.0952563, -3.40007e-05, -14.7608, 2.21917, -2.93362
-0.046469, -0.0857223, 0.00043, -15.7812, 1.9969, -2.62846
-0.039838, -0.0755463, 0.000841, -16.6252, 1.79589, -2.35674
-0.033385, -0.0648303, 0.001077, -17.3489, 1.60553, -2.11173
-0.027083, -0.0536393, 0.001162, -17.9666, 1.41229, -1.88846
-0.020788, -0.0419763, 0.001201, -18.5052, 1.22462, -1.66832
-0.014603, -0.0301024, 0.001332, -18.9756, 1.04523, -1.45593
-0.008536, -0.0178004, 0.001392, -19.3969, 0.890476, -1.26373
-0.002581, -0.0053634, 0.00138, -19.7883, 0.768294, -1.04868
0.003505, 0.0072212, 0.001283, -20.1764, 0.629302, -0.779576
0.009713, 0.0200748, 0.001236, -20.5731, 0.510573, -0.462898
0.016021, 0.0327041, 0.001006, -21.0262, 0.382442, -0.132831
0.022396, 0.0455672, 0.000738, -21.6179, 0.261261, 0.224121
0.028974, 0.0583822, 0.000472, -22.409, 0.141883, 0.603691
0.035653, 0.0710963, 0.000132, -23.5401, 0.0170091, 1.07079
0.042155, 0.0836997, -0.000154001, -25.0702, -0.11718, 1.55761
0.048323, 0.0957287, -0.000548, -26.7665, -0.232251, 1.99707
0.0535, 0.106945, -0.000934, -28.4241, -0.354274, 2.42489
0.058016, 0.116526, -0.001216, -29.9724, -0.483874, 2.8493
0.061684, 0.124397, -0.001433, -31.3365, -0.516597, 3.20282
0.064443, 0.1303, -0.001534, -32.4183, -0.460391, 3.43071
0.066375, 0.134292, -0.001358, -33.1608, -0.335808, 3.53833
0.067555, 0.135983, -0.001004, -33.5095, -0.122967, 3.48909
0.068241, 0.135558, -0.000625, -33.4563, 0.0982877, 3.36562
0.068539, 0.133209, -0.000415, -33.1057, 0.320616, 3.22551
0.068524, 0.12912, -0.000183, -32.5857, 0.55656, 3.0075
0.06814, 0.123618, 0.000143, -31.9898, 0.79693, 2.7166
0.067463, 0.116707, 0.000494, -31.3934, 1.03142, 2.38385
0.0667, 0.108591, 0.000829999, -30.829, 1.30747, 2.02184
0.065687, 0.0992544, 0.001196, -30.2922, 1.60055, 1.65612
0.064424, 0.0888472, 0.0016, -29.7877, 1.89997, 1.29751
0.062764, 0.0774763, 0.002129, -29.3188, 2.21206, 0.968167
0.060997, 0.0653382, 0.002573, -28.8926, 2.49077, 0.621532
0.058983, 0.0524203, 0.002932, -28.5113, 2.73129, 0.259619
0.056769, 0.0387549, 0.003394, -28.1709, 2.94347, -0.116436
0.054538, 0.0247062, 0.003947, -27.8909, 3.19196, -0.451029
0.052173, 0.0102858, 0.00415, -27.653, 3.41768, -0.826689
0.050033, -0.0046982, 0.003975, -27.4156, 3.58293, -1.30905
0.047955, -0.0198927, 0.003476, -27.2359, 3.75763, -1.89247
0.046221, -0.0352363, 0.002856, -27.078, 3.93505, -2.54272
0.04481, -0.0505763, 0.001871, -26.8831, 3.97374, -3.14902
0.043742, -0.0659373, 0.000875, -26.6691, 3.95592, -3.70713
0.043296, -0.0813173, -0.000139, -26.404, 4.0259, -4.13783
0.042829, -0.0961713, -0.001355, -26.1291, 4.02636, -4.56063
0.042295, -0.110636, -0.002738, -25.8743, 3.96471, -5.00472
0.04176, -0.124614, -0.004223, -25.6552, 3.86958, -5.53164
0.04148, -0.138219, -0.005856, -25.4373, 3.77835, -6.11965
0.041034, -0.150894, -0.007778, -25.2282, 3.66156, -6.81669
0.040563, -0.162858, -0.009876, -24.9248, 3.5971, -7.6129
0.039813, -0.173662, -0.011746, -24.4669, 3.71447, -8.22954
0.039001, -0.1832, -0.01364, -23.9516, 3.76844, -8.76685
0.038063, -0.19101, -0.015508, -23.4375, 3.75774, -9.28113
0.037173, -0.197022, -0.01694, -23.0301, 3.78306, -9.70948
0.036485, -0.20108, -0.018049, -22.7739, 3.74547, -10.0146
0.035787, -0.203083, -0.018592, -22.6631, 3.62733, -10.1632
0.035027, -0.203182, -0.018551, -22.69, 3.55002, -10.1347
0.034172, -0.201466, -0.018024, -22.8835, 3.47218, -10.0009
0.03341, -0.198152, -0.017151, -23.2386, 3.4043, -9.75302
0.033027, -0.193375, -0.016265, -23.7753, 3.27181, -9.49793
0.032754, -0.187398, -0.015173, -24.5466, 3.09657, -9.16119
0.032882, -0.180281, -0.013689, -25.5144, 3.01353, -8.6985
0.033244, -0.17234, -0.012176, -26.4766, 2.96322, -8.20655
0.033696, -0.163727, -0.010607, -27.3508, 2.88371, -7.60884
0.034182, -0.154611, -0.008991, -28.1671, 2.76649, -6.96843
0.034763, -0.145012, -0.007505, -28.9657, 2.69028, -6.31151
0.035285, -0.134761, -0.005948, -29.8116, 2.62274, -5.65906
0.035758, -0.123907, -0.004427, -30.6742, 2.59156, -5.00236
0.036026, -0.112506, -0.00318, -31.5661, 2.47067, -4.42964
0.036159, -0.100676, -0.0018, -32.4596, 2.45234, -3.77538
0.036212, -0.0884833, -0.000197, -33.3559, 2.58968, -3.11562
0.036126, -0.0757013, 0.001185, -34.2841, 2.64422, -2.44334
0.036092, -0.0627383, 0.002365, -35.2356, 2.71874, -1.81663
0.036002, -0.0492443, 0.003612, -36.1833, 2.84126, -1.19562
0.035831, -0.0354673, 0.004744, -37.0944, 2.95982, -0.622572
0.035542, -0.0214549, 0.005654, -38.008, 3.117, -0.0654806
0.035342, -0.0072141, 0.006335, -38.9868, 3.21191, 0.505941
0.034994, 0.0075678, 0.007103, -40.0365, 3.32765, 1.09611
0.034703, 0.0229095, 0.007748, -41.1743, 3.43531, 1.70526
0.034298, 0.0386016, 0.00819, -42.4411, 3.41188, 2.33929
0.034039, 0.0543841, 0.008778, -43.8075, 3.61326, 3.00061
0.033927, 0.0701317, 0.009254, -45.2315, 3.98556, 3.53189
0.033883, 0.0857778, 0.009506, -46.7586, 4.37246, 4.0778
0.034153, 0.101347, 0.009492, -48.553, 4.61554, 4.61144
0.034571, 0.116699, 0.009275, -50.7503, 4.81063, 5.10379
0.035015, 0.132012, 0.008922, -53.4888, 4.9923, 5.42471
0.035289, 0.147136, 0.008095, -56.728, 5.01566, 5.46245
0.035283, 0.161433, 0.006886, -60.1557, 4.90083, 5.31414
0.03506, 0.174358, 0.005924, -63.4039, 4.76219, 5.25371
0.034628, 0.185485, 0.005097, -66.2421, 4.68915, 5.34767
0.033972, 0.194428, 0.0045, -68.4509, 4.71007, 5.36667
0.033124, 0.201548, 0.004293, -70.1231, 4.81767, 5.30352
0.032384, 0.207105, 0.004594, -71.5465, 5.05698, 5.1493
0.031663, 0.211746, 0.005279, -73.0357, 5.47535, 4.83029
0.031133, 0.215861, 0.006147, -74.7802, 6.02586, 4.37481
0.030577, 0.219467, 0.00686, -76.8016, 6.45293, 3.87155
0.02996, 0.22281, 0.007378, -79.0248, 6.76575, 3.36162
0.029376, 0.225655, 0.007766, -81.1966, 6.78151, 2.8708
0.029212, 0.227803, 0.008178, -83.1472, 6.80638, 2.46082
0.029149, 0.229215, 0.008661, -84.951, 6.99744, 2.08957
0.029371, 0.229998, 0.008985, -86.5841, 7.02055, 1.66158
0.030059, 0.229826, 0.009015, -87.8833, 6.79436, 1.26023
0.031511, 0.229098, 0.008669, -88.7864, 6.3502, 1.00207
0.033396, 0.227895, 0.008028, -89.3162, 5.73798, 0.900593
0.036104, 0.226294, 0.006874, -89.5562, 4.87792, 0.914773
0.039749, 0.224462, 0.005073, -89.6734, 3.72151, 1.06433
0.044135, 0.222791, 0.002248, -89.7928, 2.1841, 1.40067
0.049184, 0.220926, -0.00147, -90.0031, 0.241545, 1.86637
0.054868, 0.218965, -0.005936, -90.2898, -1.97066, 2.343
0.061006, 0.216418, -0.010714, -90.5723, -4.16495, 2.74689
0.067227, 0.213395, -0.015277, -90.7768, -6.12001, 3.03841
0.073233, 0.209147, -0.019791, -90.8385, -7.97646, 3.25569
0.078714, 0.204055, -0.023704, -90.7457, -9.5573, 3.36292
0.083759, 0.198088, -0.027102, -90.5502, -10.8348, 3.38259
0.088427, 0.191332, -0.030247, -90.3541, -11.9748, 3.41131
0.092568, 0.184027, -0.033188, -90.2315, -12.9901, 3.46519
0.096343, 0.176261, -0.036174, -90.2322, -14.009, 3.59319
0.099855, 0.167959, -0.039193, -90.3203, -15.0474, 3.76037
0.102981, 0.159124, -0.042223, -90.4804, -16.1282, 3.98404
0.105809, 0.149881, -0.045372, -90.677, -17.2332, 4.26472
0.108532, 0.139849, -0.048421, -90.7926, -18.2152, 4.4449
0.111186, 0.129277, -0.051165, -90.8036, -19.1093, 4.50823
0.113747, 0.118405, -0.053794, -90.754, -19.9501, 4.51295
0.115976, 0.107225, -0.055971, -90.6505, -20.6082, 4.41825
0.11779, 0.0957559, -0.058141, -90.5106, -21.1913, 4.28771
0.119375, 0.0841354, -0.059943, -90.3745, -21.747, 4.18459
0.120431, 0.0725104, -0.061651, -90.2339, -22.2226, 4.1
0.121153, 0.060835, -0.062983, -90.0686, -22.5964, 4.01631
0.121352, 0.0491831, -0.063842, -89.8995, -22.8489, 3.95087
0.121339, 0.0377783, -0.064553, -89.7209, -23.0154, 3.86842
0.120977, 0.0267194, -0.065016, -89.4944, -23.1426, 3.73464
0.120472, 0.0160009, -0.065416, -89.24, -23.2964, 3.57773
0.119668, 0.0058134, -0.065723, -89.0098, -23.4661, 3.45324
0.118582, -0.0033428, -0.065711, -88.7936, -23.6079, 3.33452
0.117018, -0.0115141, -0.065347, -88.5877, -23.6651, 3.20539
0.115173, -0.0186274, -0.064677, -88.4259, -23.5921, 3.08215
0.11326, -0.0246348, -0.063655, -88.3257, -23.4324, 2.97057
0.111299, -0.0294652, -0.062626, -88.2782, -23.2358, 2.83843
0.109331, -0.0329503, -0.061472, -88.2826, -22.9939, 2.70779
0.107257, -0.0352893, -0.060276, -88.3318, -22.7145, 2.58388
0.105307, -0.0363083, -0.059061, -88.4153, -22.446, 2.5253
0.103304, -0.0356953, -0.057976, -88.5492, -22.1718, 2.56916
0.10121, -0.0336853, -0.056843, -88.7882, -21.8807, 2.75581
0.099096, -0.0299633, -0.055626, -89.1262, -21.5798, 3.03003
0.096723, -0.0248764, -0.054379, -89.5707, -21.234, 3.37671
0.094066, -0.0183111, -0.052996, -90.0846, -20.8708, 3.79486
0.091181, -0.0102662, -0.05171, -90.6402, -20.4568, 4.29511
0.088057, -0.0012128, -0.050312, -91.195, -20.0135, 4.82634
0.084632, 0.0088503, -0.048907, -91.6934, -19.5657, 5.35901
0.081112, 0.0198485, -0.04726, -92.1334, -19.0894, 5.90292
0.077494, 0.0317339, -0.045624, -92.5103, -18.5688, 6.40479
0.073649, 0.0444003, -0.044047, -92.8503, -18.0373, 6.89382
0.06975, 0.0578243, -0.042616, -93.1939, -17.5127, 7.40008
0.065394, 0.0722774, -0.04135, -93.5397, -16.9944, 7.93704
0.060908, 0.0874517, -0.040397, -93.8856, -16.4986, 8.50231
0.056232, 0.103325, -0.039502, -94.2375, -16.006, 9.11284
0.051356, 0.119963, -0.038901, -94.5742, -15.5347, 9.7437
0.046163, 0.137224, -0.038529, -94.8883, -15.071, 10.4021
0.040569, 0.155237, -0.038594, -95.1593, -14.6014, 11.07
0.03471, 0.1737, -0.03902, -95.4085, -14.144, 11.7249
0.02862, 0.192745, -0.03988, -95.6814, -13.7266, 12.3991
0.022488, 0.211667, -0.041264, -95.9593, -13.4181, 13.1153
0.016408, 0.230233, -0.043051, -96.2369, -13.1969, 13.9291
0.010692, 0.24801, -0.045029, -96.4848, -13.0026, 14.7389
0.005346, 0.26454, -0.047126, -96.7207, -12.7929, 15.5459
0.00048, 0.279828, -0.04918, -96.992, -12.5488, 16.3207
-0.004005, 0.293927, -0.051009, -97.3281, -12.2876, 17.0111
-0.008025, 0.306464, -0.052826, -97.6848, -12.0961, 17.5719
-0.011435, 0.317309, -0.054478, -98.0541, -11.9644, 18.0309
-0.014425, 0.326477, -0.056127, -98.4381, -11.8736, 18.4334
-0.016834, 0.334116, -0.057547, -98.7931, -11.8295, 18.7792
-0.018765, 0.340061, -0.058781, -99.0862, -11.8481, 19.0544
-0.020406, 0.344398, -0.059975, -99.2503, -11.9695, 19.2621
-0.021607, 0.347165, -0.060739, -99.3131, -12.1222, 19.421
-0.02256, 0.348798, -0.060993, -99.3103, -12.1992, 19.5048
-0.023383, 0.349513, -0.060695, -99.2585, -12.1588, 19.4937
-0.023875, 0.34917, -0.060019, -99.1774, -12.0331, 19.3836
-0.023865, 0.347735, -0.059134, -99.0685, -11.8985, 19.1822
-0.023316, 0.345201, -0.058286, -98.9141, -11.8216, 18.9039
-0.022589, 0.341842, -0.057117, -98.6605, -11.7677, 18.5424
-0.021239, 0.337378, -0.055623, -98.2744, -11.669, 18.0774
-0.019526, 0.331555, -0.053914, -97.7045, -11.4864, 17.494
-0.017313, 0.324537, -0.051897, -96.9312, -11.2876, 16.7991
-0.014742, 0.316215, -0.049798, -95.9572, -11.1199, 16.0212
-0.012155, 0.306803, -0.047536, -94.788, -11.0012, 15.1706
-0.009285, 0.296286, -0.045188, -93.4677, -10.892, 14.2459
-0.006287, 0.284715, -0.042781, -92.0551, -10.7554, 13.2787
-0.003357, 0.272014, -0.040307, -90.5495, -10.5793, 12.2277
-0.000276, 0.25834, -0.037648, -88.857, -10.2798, 11.0485
0.002719, 0.242939, -0.034391, -86.711, -9.79946, 9.66036
0.005672, 0.226248, -0.030825, -84.1484, -9.12438, 8.27347
0.00826, 0.208263, -0.027155, -81.3516, -8.35358, 6.88873
0.010466, 0.189701, -0.023599, -78.5504, -7.55772, 5.58753
0.01224, 0.171029, -0.020381, -75.9532, -6.75112, 4.41361
0.013543, 0.152888, -0.017573, -73.6621, -5.97821, 3.37301
0.014378, 0.13519, -0.015133, -71.6891, -5.26083, 2.48264
0.015001, 0.118086, -0.012956, -70.0492, -4.6073, 1.74918
0.015324, 0.101574, -0.01085, -68.6675, -3.94127, 1.13044
0.015415, 0.085862, -0.008762, -67.5573, -3.23473, 0.708293
0.015541, 0.0709124, -0.006764, -66.6625, -2.45855, 0.412632
0.015559, 0.0569113, -0.004715, -65.9369, -1.58364, 0.188707
0.015496, 0.0435687, -0.002866, -65.3392, -0.710108, -0.0230882
0.0153, 0.0314215, -0.001002, -64.8617, 0.124151, -0.192162
0.015198, 0.0204885, 0.000709999, -64.4749, 0.881854, -0.34467
0.01513, 0.0106793, 0.002312, -64.1156, 1.57868, -0.510885
0.015222, 0.0020377, 0.00371, -63.7962, 2.19984, -0.67296
0.015417, -0.0053609, 0.004996, -63.517, 2.73351, -0.822864
0.015706, -0.0116173, 0.006209, -63.2372, 3.26609, -0.971733
0.016051, -0.0168186, 0.007217, -62.9492, 3.73606, -1.05575
0.016362, -0.0210071, 0.00812, -62.6954, 4.16425, -1.05315
0.016165, -0.0242539, 0.009648, -62.4896, 4.8936, -0.992981
0.015031, -0.026851, 0.012556, -62.3329, 6.42371, -0.941013
0.012271, -0.0288165, 0.016537, -62.2434, 8.64109, -1.00561
0.008358, -0.0305653, 0.020699, -62.1524, 11.069, -1.11192
0.003374, -0.0319503, 0.025074, -62.0735, 13.7424, -1.22378
-0.002775, -0.0327743, 0.029096, -62.0513, 16.3241, -1.32268
-0.01003, -0.0332173, 0.032907, -62.0804, 18.9108, -1.42645
-0.018296, -0.0332623, 0.036582, -62.1341, 21.602, -1.53559
-0.027623, -0.0328683, 0.040326, -62.2332, 24.5354, -1.66324
-0.038109, -0.0320203, 0.04403, -62.3822, 27.6856, -1.84446
-0.049291, -0.0309633, 0.04695, -62.5299, 30.7242, -2.01324
-0.060962, -0.0293469, 0.049341, -62.6604, 33.6403, -2.09106
-0.072389, -0.0274294, 0.051296, -62.7612, 36.422, -2.03705
-0.083484, -0.0252108, 0.05293, -62.85, 38.9763, -1.97174
-0.09415, -0.0227333, 0.054237, -63.0099, 41.4075, -1.96865
-0.104308, -0.020099, 0.055115, -63.176, 43.6642, -1.95471
-0.113976, -0.0176444, 0.055575, -63.3126, 45.742, -2.00316
-0.123392, -0.0152009, 0.055684, -63.3377, 47.8544, -2.00131
-0.132437, -0.0129317, 0.055474, -63.2819, 49.9823, -1.98795
-0.141069, -0.0105493, 0.055033, -63.1513, 51.9887, -1.8954
-0.149299, -0.0078247, 0.054492, -63.0412, 53.837, -1.81022
-0.15686, -0.0051244, 0.05392, -62.9196, 55.527, -1.67756
-0.1641, -0.0020054, 0.053377, -62.7661, 57.09, -1.46629
-0.170665, 0.001156, 0.052814, -62.5235, 58.6704, -1.09532
-0.176948, 0.004638, 0.051888, -62.3442, 60.206, -0.708968
-0.182882, 0.0083178, 0.050921, -62.087, 61.5687, -0.20905
-0.188661, 0.0120418, 0.049645, -61.7854, 62.8094, 0.343812
-0.194301, 0.0158788, 0.048137, -61.4657, 63.9597, 0.916488
-0.199671, 0.0194138, 0.046458, -61.0582, 65.0415, 1.50336
-0.205091, 0.023038, 0.044692, -60.4971, 66.1653, 2.1936
-0.210265, 0.0266101, 0.042937, -59.5646, 67.2978, 3.20198
-0.215629, 0.0300226, 0.041012, -58.5913, 68.4815, 4.19915
-0.220634, 0.0333077, 0.03853, -57.6425, 69.5043, 5.15651
-0.225507, 0.0367647, 0.035738, -56.9597, 70.2992, 5.88897
-0.230408, 0.0402777, 0.032922, -56.3474, 71.018, 6.65869
-0.234903, 0.0439562, 0.030306, -55.8074, 71.5538, 7.39607
-0.239141, 0.0474912, 0.027737, -55.2648, 71.9445, 8.13161
-0.242708, 0.0507526, 0.025294, -55.0515, 72.3633, 8.56843
-0.245403, 0.0537403, 0.023172, -55.2309, 72.6188, 8.6571
